,Date,Favored Team,Underdog Team,Favored Spread,Predicted Outcome,Confidence,Vig,Bet To Take,Half Kelly,Quarter Kelly,Final Score,Cover
126,11/17/2021,Mississippi State,Detroit,-15.5,Mississippi State Wins By 20.1,57.32%,-110,Mississippi State -15.5,5.2%,2.6%,77-64,0.0
127,11/17/2021,Saint Mary's,Bellarmine,-16.0,Saint Mary's Wins By 16.2,57.32%,-110,Saint Mary's -16.0,5.2%,2.6%,73-64,0.0
128,11/17/2021,Arkansas,Northern Iowa,-12.5,Arkansas Wins By 10.7,57.32%,-105,Northern Iowa +12.5,6.3%,3.1%,93-80,0.0
129,11/17/2021,Vanderbilt,VCU,-5.0,Vanderbilt Wins By 7.5,57.32%,-105,Vanderbilt -5.0,6.3%,3.1%,37-48,0.0
130,11/17/2021,Rhode Island,Boston College,-5.5,Rhode Island Wins By 4.9,55.25%,-110,Boston College +5.5,5.2%,2.6%,57-49,0.0
131,11/17/2021,Stanford,Valparaiso,-13.5,Stanford Wins By 8.9,55.25%,-110,Valparaiso +13.5,5.2%,2.6%,74-60,0.0
132,11/17/2021,Grand Canyon,Prairie View A&M,-12.5,Grand Canyon Wins By 12.5,57.32%,-110,Grand Canyon -12.5,5.2%,2.6%,91-64,1.0
133,11/17/2021,San Diego,UC Riverside,-3.5,San Diego Wins By 2.1,55.25%,-110,UC Riverside +3.5,5.2%,2.6%,74-62,0.0
134,11/17/2021,Dayton,Lipscomb,-10.0,Dayton Wins By 6.8,55.25%,-110,Lipscomb +10.0,5.2%,2.6%,59-78,1.0
135,11/17/2021,Merrimack,Army,-1.5,Merrimack Wins By 4.9,57.32%,-110,Merrimack -1.5,5.2%,2.6%,51-74,0.0
136,11/17/2021,Delaware,La Salle,-7.0,Delaware Wins By 6.6,51.42%,-110,La Salle +7.0,5.2%,2.6%,85-82,1.0
137,11/17/2021,Wagner,Saint Peter's,-3.5,Wagner Wins By 4.6,57.32%,-105,Wagner -3.5,6.3%,3.1%,,
138,11/17/2021,Princeton,Marist,-7.0,Princeton Wins By 2.5,51.42%,-110,Marist +7.0,5.2%,2.6%,80-61,0.0
139,11/17/2021,Pepperdine,UC Davis,-1.0,Pepperdine Wins By 2.5,51.42%,-105,Pepperdine -1.0,6.3%,3.1%,72-67,1.0
140,11/17/2021,Rider,Bucknell,-2.0,Rider Wins By 3.0,51.42%,100,Rider -2.0,7.3%,3.6%,74-81,0.0
141,11/17/2021,Texas Southern,Air Force,-3.5,Texas Southern Wins By 3.7,57.32%,-105,Texas Southern -3.5,6.3%,3.1%,57-61,0.0
142,11/17/2021,UTSA,IUPUI,-9.5,UTSA Wins By 10.5,51.42%,-110,UTSA -9.5,5.2%,2.6%,60-57,0.0
143,11/17/2021,UMass Lowell,Central Connecticut,-8.5,UMass Lowell Wins By 6.4,57.32%,-105,Central Connecticut +8.5,6.3%,3.1%,77-53,0.0
144,11/17/2021,Long Beach State,Utah Valley,-3.0,Long Beach State Wins By 1.8,57.32%,-110,Utah Valley +3.0,5.2%,2.6%,78-84,1.0
145,11/17/2021,Binghamton,Columbia,-2.5,Binghamton Wins By 2.2,51.42%,-110,Columbia +2.5,5.2%,2.6%,77-85,1.0
146,11/17/2021,Texas A&M Corpus Chris,Denver,-2.5,Denver Wins By 1.9,65.96%,-105,Denver +2.5,6.3%,3.1%,69-67,1.0
